ts,inst,side,price,sizeFrac,reason
2025-01-01T12:30:00+00:00,ETH-USDT-SWAP,BUY,3348.17,1.0,entry_multi_indicator
2025-01-01T13:00:00+00:00,ETH-USDT-SWAP,SELL,3339.49,1.0,takeprofit_trailing
2025-01-01T14:00:00+00:00,ETH-USDT-SWAP,BUY,3348.62,1.0,entry_multi_indicator
2025-01-01T14:15:00+00:00,ETH-USDT-SWAP,SELL,3337.91,1.0,takeprofit_trailing
2025-01-01T15:45:00+00:00,ETH-USDT-SWAP,BUY,3353.6,1.0,entry_multi_indicator
2025-01-01T16:30:00+00:00,ETH-USDT-SWAP,SELL,3337.17,1.0,stoploss_full
2025-01-01T19:45:00+00:00,ETH-USDT-SWAP,BUY,3357.51,1.0,entry_multi_indicator
2025-01-01T23:15:00+00:00,ETH-USDT-SWAP,SELL,3356.35,1.0,stoploss_full
2025-01-02T00:15:00+00:00,ETH-USDT-SWAP,BUY,3385.27,1.0,entry_multi_indicator
2025-01-02T01:45:00+00:00,ETH-USDT-SWAP,SELL,3384.04,1.0,takeprofit_trailing
2025-01-02T02:00:00+00:00,ETH-USDT-SWAP,BUY,3388.12,1.0,entry_multi_indicator
2025-01-02T03:30:00+00:00,ETH-USDT-SWAP,SELL,3389.4,1.0,stoploss_full
2025-01-02T04:30:00+00:00,ETH-USDT-SWAP,BUY,3417.36,1.0,entry_multi_indicator
2025-01-02T05:00:00+00:00,ETH-USDT-SWAP,SELL,3407.14,1.0,takeprofit_trailing
2025-01-02T05:15:00+00:00,ETH-USDT-SWAP,BUY,3416.39,1.0,entry_multi_indicator
2025-01-02T06:15:00+00:00,ETH-USDT-SWAP,SELL,3403.84,1.0,stoploss_full
2025-01-02T08:00:00+00:00,ETH-USDT-SWAP,BUY,3433.0,1.0,entry_multi_indicator
2025-01-02T08:15:00+00:00,ETH-USDT-SWAP,SELL,3418.6,1.0,takeprofit_trailing
2025-01-02T08:30:00+00:00,ETH-USDT-SWAP,BUY,3424.59,1.0,entry_multi_indicator
2025-01-02T09:15:00+00:00,ETH-USDT-SWAP,SELL,3445.65,0.3,takeprofit_r_multiple_1.0
2025-01-02T09:45:00+00:00,ETH-USDT-SWAP,SELL,3467.99,0.3,takeprofit_r_multiple_2.0
2025-01-02T12:30:00+00:00,ETH-USDT-SWAP,SELL,3473.37,0.39999999999999997,stoploss_full
2025-01-02T14:45:00+00:00,ETH-USDT-SWAP,BUY,3495.5,1.0,entry_multi_indicator
2025-01-02T15:15:00+00:00,ETH-USDT-SWAP,SELL,3469.69,1.0,takeprofit_trailing
2025-01-03T01:45:00+00:00,ETH-USDT-SWAP,BUY,3465.6,1.0,entry_multi_indicator
2025-01-03T02:45:00+00:00,ETH-USDT-SWAP,SELL,3457.98,1.0,takeprofit_trailing
2025-01-03T03:45:00+00:00,ETH-USDT-SWAP,BUY,3470.86,1.0,entry_multi_indicator
2025-01-03T04:30:00+00:00,ETH-USDT-SWAP,SELL,3459.4,1.0,stoploss_full
2025-01-03T11:30:00+00:00,ETH-USDT-SWAP,BUY,3458.99,1.0,entry_multi_indicator
2025-01-03T12:45:00+00:00,ETH-USDT-SWAP,SELL,3464.04,1.0,takeprofit_trailing
2025-01-03T13:00:00+00:00,ETH-USDT-SWAP,BUY,3485.0,1.0,entry_multi_indicator
2025-01-03T14:15:00+00:00,ETH-USDT-SWAP,SELL,3512.0,0.3,takeprofit_r_multiple_1.0
2025-01-03T14:30:00+00:00,ETH-USDT-SWAP,SELL,3525.51,0.3,takeprofit_r_multiple_2.0
2025-01-03T14:45:00+00:00,ETH-USDT-SWAP,SELL,3527.74,0.2,takeprofit_rsi_partial
2025-01-03T15:00:00+00:00,ETH-USDT-SWAP,SELL,3535.22,0.19999999999999996,takeprofit_rsi_partial
2025-01-03T15:15:00+00:00,ETH-USDT-SWAP,BUY,3539.3,1.0,entry_multi_indicator
2025-01-03T15:30:00+00:00,ETH-USDT-SWAP,SELL,3554.11,0.2,takeprofit_rsi_partial
2025-01-03T15:45:00+00:00,ETH-USDT-SWAP,SELL,3564.99,0.2,takeprofit_rsi_partial
2025-01-03T16:00:00+00:00,ETH-USDT-SWAP,SELL,3587.15,0.3,takeprofit_r_multiple_1.0
2025-01-03T16:15:00+00:00,ETH-USDT-SWAP,SELL,3581.91,0.2,takeprofit_rsi_partial
2025-01-03T16:30:00+00:00,ETH-USDT-SWAP,SELL,3588.65,0.10000000000000009,takeprofit_rsi_partial
2025-01-03T16:45:00+00:00,ETH-USDT-SWAP,BUY,3584.43,1.0,entry_multi_indicator
2025-01-03T18:30:00+00:00,ETH-USDT-SWAP,SELL,3612.32,0.2,takeprofit_rsi_partial
2025-01-03T20:00:00+00:00,ETH-USDT-SWAP,SELL,3609.93,0.8,takeprofit_trailing
2025-01-04T06:00:00+00:00,ETH-USDT-SWAP,BUY,3603.42,1.0,entry_multi_indicator
2025-01-04T06:30:00+00:00,ETH-USDT-SWAP,SELL,3597.88,1.0,takeprofit_trailing
2025-01-04T07:00:00+00:00,ETH-USDT-SWAP,BUY,3607.72,1.0,entry_multi_indicator
2025-01-04T07:45:00+00:00,ETH-USDT-SWAP,SELL,3594.04,1.0,takeprofit_trailing
2025-01-04T12:00:00+00:00,ETH-USDT-SWAP,BUY,3607.96,1.0,entry_multi_indicator
2025-01-04T12:15:00+00:00,ETH-USDT-SWAP,SELL,3635.48,0.3,takeprofit_r_multiple_1.0
2025-01-04T12:30:00+00:00,ETH-USDT-SWAP,SELL,3627.8,0.7,takeprofit_trailing
2025-01-04T12:45:00+00:00,ETH-USDT-SWAP,BUY,3635.0,1.0,entry_multi_indicator
2025-01-04T15:15:00+00:00,ETH-USDT-SWAP,SELL,3636.01,1.0,takeprofit_trailing
2025-01-04T20:15:00+00:00,ETH-USDT-SWAP,BUY,3646.28,1.0,entry_multi_indicator
2025-01-04T22:00:00+00:00,ETH-USDT-SWAP,SELL,3655.02,1.0,takeprofit_trailing
2025-01-04T22:15:00+00:00,ETH-USDT-SWAP,BUY,3648.39,1.0,entry_multi_indicator
2025-01-04T22:30:00+00:00,ETH-USDT-SWAP,SELL,3654.19,1.0,stoploss_full
2025-01-05T15:00:00+00:00,ETH-USDT-SWAP,BUY,3626.56,1.0,entry_multi_indicator
2025-01-05T17:45:00+00:00,ETH-USDT-SWAP,SELL,3628.25,1.0,takeprofit_trailing
2025-01-05T20:00:00+00:00,ETH-USDT-SWAP,BUY,3640.2,1.0,entry_multi_indicator
2025-01-05T20:30:00+00:00,ETH-USDT-SWAP,SELL,3637.01,1.0,takeprofit_trailing
2025-01-05T21:00:00+00:00,ETH-USDT-SWAP,BUY,3641.13,1.0,entry_multi_indicator
2025-01-05T23:15:00+00:00,ETH-USDT-SWAP,SELL,3638.35,1.0,stoploss_full
2025-01-06T02:00:00+00:00,ETH-USDT-SWAP,BUY,3669.21,1.0,entry_multi_indicator
2025-01-06T06:00:00+00:00,ETH-USDT-SWAP,SELL,3671.89,1.0,takeprofit_trailing
2025-01-06T14:45:00+00:00,ETH-USDT-SWAP,BUY,3686.05,1.0,entry_multi_indicator
2025-01-06T16:00:00+00:00,ETH-USDT-SWAP,SELL,3730.58,0.3,takeprofit_r_multiple_1.0
2025-01-06T17:00:00+00:00,ETH-USDT-SWAP,SELL,3693.26,0.7,takeprofit_trailing
2025-01-07T01:45:00+00:00,ETH-USDT-SWAP,BUY,3695.0,1.0,entry_multi_indicator
2025-01-07T02:45:00+00:00,ETH-USDT-SWAP,SELL,3678.27,1.0,takeprofit_trailing
2025-01-08T22:30:00+00:00,ETH-USDT-SWAP,BUY,3332.36,1.0,entry_multi_indicator
2025-01-09T02:00:00+00:00,ETH-USDT-SWAP,SELL,3329.96,1.0,takeprofit_trailing
2025-01-09T02:30:00+00:00,ETH-USDT-SWAP,BUY,3344.7,1.0,entry_multi_indicator
2025-01-09T03:00:00+00:00,ETH-USDT-SWAP,SELL,3326.0,1.0,stoploss_full
2025-01-10T02:15:00+00:00,ETH-USDT-SWAP,BUY,3254.1,1.0,entry_multi_indicator
2025-01-10T07:30:00+00:00,ETH-USDT-SWAP,SELL,3308.99,0.3,takeprofit_r_multiple_1.0
2025-01-10T10:15:00+00:00,ETH-USDT-SWAP,SELL,3300.0,0.7,stoploss_full
2025-01-10T10:45:00+00:00,ETH-USDT-SWAP,BUY,3318.38,1.0,entry_multi_indicator
2025-01-10T11:00:00+00:00,ETH-USDT-SWAP,SELL,3310.21,1.0,stoploss_full
2025-01-10T17:45:00+00:00,ETH-USDT-SWAP,BUY,3315.6,1.0,entry_multi_indicator
2025-01-10T19:00:00+00:00,ETH-USDT-SWAP,SELL,3277.3,1.0,takeprofit_trailing
2025-01-11T10:45:00+00:00,ETH-USDT-SWAP,BUY,3256.48,1.0,entry_multi_indicator
2025-01-11T11:30:00+00:00,ETH-USDT-SWAP,SELL,3275.99,0.3,takeprofit_r_multiple_1.0
2025-01-11T13:30:00+00:00,ETH-USDT-SWAP,SELL,3263.77,0.7,takeprofit_trailing
2025-01-11T19:15:00+00:00,ETH-USDT-SWAP,BUY,3278.5,1.0,entry_multi_indicator
2025-01-11T19:30:00+00:00,ETH-USDT-SWAP,SELL,3273.79,1.0,stoploss_full
2025-01-11T20:15:00+00:00,ETH-USDT-SWAP,BUY,3291.2,1.0,entry_multi_indicator
2025-01-11T22:00:00+00:00,ETH-USDT-SWAP,SELL,3302.75,1.0,takeprofit_trailing
2025-01-11T22:15:00+00:00,ETH-USDT-SWAP,BUY,3292.82,1.0,entry_multi_indicator
2025-01-11T22:30:00+00:00,ETH-USDT-SWAP,SELL,3292.75,1.0,stoploss_full
2025-01-12T14:00:00+00:00,ETH-USDT-SWAP,BUY,3274.49,1.0,entry_multi_indicator
2025-01-12T16:00:00+00:00,ETH-USDT-SWAP,SELL,3274.38,1.0,takeprofit_trailing
2025-01-12T16:15:00+00:00,ETH-USDT-SWAP,BUY,3277.51,1.0,entry_multi_indicator
2025-01-12T18:30:00+00:00,ETH-USDT-SWAP,SELL,3282.49,1.0,takeprofit_trailing
2025-01-13T00:15:00+00:00,ETH-USDT-SWAP,BUY,3303.51,1.0,entry_multi_indicator
2025-01-13T00:45:00+00:00,ETH-USDT-SWAP,SELL,3308.91,1.0,takeprofit_trailing
2025-01-13T01:00:00+00:00,ETH-USDT-SWAP,BUY,3295.0,1.0,entry_multi_indicator
2025-01-13T01:30:00+00:00,ETH-USDT-SWAP,SELL,3276.76,1.0,takeprofit_trailing
2025-01-13T20:45:00+00:00,ETH-USDT-SWAP,BUY,3091.7,1.0,entry_multi_indicator
2025-01-14T01:00:00+00:00,ETH-USDT-SWAP,SELL,3159.11,0.3,takeprofit_r_multiple_1.0
2025-01-14T01:30:00+00:00,ETH-USDT-SWAP,SELL,3141.81,0.7,stoploss_full
2025-01-14T02:15:00+00:00,ETH-USDT-SWAP,BUY,3164.04,1.0,entry_multi_indicator
2025-01-14T03:45:00+00:00,ETH-USDT-SWAP,SELL,3159.19,1.0,stoploss_full
2025-01-14T09:00:00+00:00,ETH-USDT-SWAP,BUY,3198.48,1.0,entry_multi_indicator
2025-01-14T09:15:00+00:00,ETH-USDT-SWAP,SELL,3234.9,0.3,takeprofit_r_multiple_1.0
2025-01-14T09:30:00+00:00,ETH-USDT-SWAP,SELL,3249.95,0.3,takeprofit_r_multiple_2.0
2025-01-14T10:00:00+00:00,ETH-USDT-SWAP,SELL,3226.35,0.39999999999999997,takeprofit_trailing
2025-01-14T10:15:00+00:00,ETH-USDT-SWAP,BUY,3231.61,1.0,entry_multi_indicator
2025-01-14T11:15:00+00:00,ETH-USDT-SWAP,SELL,3220.17,1.0,stoploss_full
2025-01-14T18:15:00+00:00,ETH-USDT-SWAP,BUY,3219.91,1.0,entry_multi_indicator
2025-01-14T20:00:00+00:00,ETH-USDT-SWAP,SELL,3207.22,1.0,stoploss_full
2025-01-14T20:15:00+00:00,ETH-USDT-SWAP,BUY,3226.0,1.0,entry_multi_indicator
2025-01-14T20:30:00+00:00,ETH-USDT-SWAP,SELL,3214.9,1.0,stoploss_full
2025-01-14T21:00:00+00:00,ETH-USDT-SWAP,BUY,3226.73,1.0,entry_multi_indicator
2025-01-14T21:30:00+00:00,ETH-USDT-SWAP,SELL,3218.62,1.0,stoploss_full
2025-01-14T22:30:00+00:00,ETH-USDT-SWAP,BUY,3233.23,1.0,entry_multi_indicator
2025-01-14T23:30:00+00:00,ETH-USDT-SWAP,SELL,3228.09,1.0,stoploss_full
2025-01-15T01:30:00+00:00,ETH-USDT-SWAP,BUY,3238.7,1.0,entry_multi_indicator
2025-01-15T01:45:00+00:00,ETH-USDT-SWAP,SELL,3230.8,1.0,stoploss_full
2025-01-15T03:45:00+00:00,ETH-USDT-SWAP,BUY,3241.59,1.0,entry_multi_indicator
2025-01-15T04:00:00+00:00,ETH-USDT-SWAP,SELL,3229.15,1.0,takeprofit_trailing
2025-01-15T05:30:00+00:00,ETH-USDT-SWAP,BUY,3233.2,1.0,entry_multi_indicator
2025-01-15T06:00:00+00:00,ETH-USDT-SWAP,SELL,3221.13,1.0,stoploss_full
2025-01-15T07:15:00+00:00,ETH-USDT-SWAP,BUY,3249.25,1.0,entry_multi_indicator
2025-01-15T07:30:00+00:00,ETH-USDT-SWAP,SELL,3234.86,1.0,takeprofit_trailing
2025-01-15T08:15:00+00:00,ETH-USDT-SWAP,BUY,3248.0,1.0,entry_multi_indicator
