ts,close,fast,slow,highN,lowN,highN_prev,lowN_prev,signal,pos,ret,equity
2025-09-15 08:00:00+00:00,4565.92,,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 08:05:00+00:00,4566.48,,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 08:10:00+00:00,4566.08,,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 08:15:00+00:00,4562.52,,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 08:20:00+00:00,4558.65,,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 08:25:00+00:00,4558.65,,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 08:30:00+00:00,4558.65,,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 08:35:00+00:00,4553.78,,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 08:40:00+00:00,4553.78,,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 08:45:00+00:00,4527.35,4557.186,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 08:50:00+00:00,4510.05,4551.599,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 08:55:00+00:00,4510.89,4546.039999999999,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 09:00:00+00:00,4519.67,4541.398999999999,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 09:05:00+00:00,4523.34,4537.481,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 09:10:00+00:00,4523.34,4533.95,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 09:15:00+00:00,4510.77,4529.162,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 09:20:00+00:00,4521.74,4525.4710000000005,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 09:25:00+00:00,4528.97,4522.99,,,,,,HOLD,0.0,0.0,1.0
2025-09-15 09:30:00+00:00,4528.75,4520.486999999999,,,,,,HOLD,0.0,-0.0,1.0
2025-09-15 09:35:00+00:00,4528.74,4520.626,,4566.48,4510.05,,,HOLD,0.0,-0.0,1.0
2025-09-15 09:40:00+00:00,4528.75,4522.496000000001,,4566.48,4510.05,4566.48,4510.05,HOLD,0.0,0.0,1.0
